year,tmID,franchID,confID,rank,playoff,firstRound,semis,finals,name,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,GP_x,playerID,stint_x,GP_y,GS,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,dq,PostGP,PostGS,PostMinutes,PostPoints,PostoRebounds,PostdRebounds,PostRebounds,PostAssists,PostSteals,PostBlocks,PostTurnovers,PostPF,PostfgAttempted,PostfgMade,PostftAttempted,PostftMade,PostthreeAttempted,PostthreeMade,PostDQ,height,weight,birthDate,deathDate,award,coachID,stint_y,won_y,lost_y,post_wins,post_losses,winrate
1,HOU,HOU,WE,2,Y,W,W,W,Houston Comets,891,1894,521,634,172,491,273,724,997,494,554,284,440,104,2475,786,1938,370,508,124,418,290,612,902,473,648,233,480,85,2066,32,arcaija01w,0,32,32,977,268,36,83,119,60,42,3,66,233,109,49,41,45,9,1,6,6,201,50,6,21,27,12,10,0,16,14,47,21,7,6,7,2,0,71.0,147,1969-04-11,0000-00-00,,chancva99w,0,27,5,6,0,84.375
1,HOU,HOU,WE,2,Y,W,W,W,Houston Comets,891,1894,521,634,172,491,273,724,997,494,554,284,440,104,2475,786,1938,370,508,124,418,290,612,902,473,648,233,480,85,2066,32,coopecy01w,0,31,31,1085,550,17,68,85,156,39,6,61,392,180,168,147,121,43,0,6,6,228,136,5,10,15,22,9,1,18,11,119,45,39,35,32,11,0,70.0,150,1963-04-14,0000-00-00,WNBA Finals Most Valuable Player,chancva99w,0,27,5,6,0,84.375
1,HOU,HOU,WE,2,Y,W,W,W,Houston Comets,891,1894,521,634,172,491,273,724,997,494,554,284,440,104,2475,786,1938,370,508,124,418,290,612,902,473,648,233,480,85,2066,32,gibsoke01w,0,17,0,76,24,4,8,12,2,1,0,11,19,7,8,7,7,3,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,70.0,136,1976-11-10,0000-00-00,,chancva99w,0,27,5,6,0,84.375
1,HOU,HOU,WE,2,Y,W,W,W,Houston Comets,891,1894,521,634,172,491,273,724,997,494,554,284,440,104,2475,786,1938,370,508,124,418,290,612,902,473,648,233,480,85,2066,32,jacksta01w,0,29,1,339,76,18,43,61,11,12,9,62,61,35,11,6,0,0,0,6,0,94,16,9,8,17,0,4,4,2,9,14,8,0,0,0,0,0,75.0,179,1962-12-03,0000-00-00,,chancva99w,0,27,5,6,0,84.375
1,HOU,HOU,WE,2,Y,W,W,W,Houston Comets,891,1894,521,634,172,491,273,724,997,494,554,284,440,104,2475,786,1938,370,508,124,418,290,612,902,473,648,233,480,85,2066,32,johnsti01w,0,31,29,687,131,59,88,147,10,10,16,86,100,48,50,35,0,0,1,6,6,135,22,12,17,29,1,3,2,7,15,20,10,2,2,0,0,0,76.0,240,1975-12-27,0000-00-00,,chancva99w,0,27,5,6,0,84.375
1,HOU,HOU,WE,2,Y,W,W,W,Houston Comets,891,1894,521,634,172,491,273,724,997,494,554,284,440,104,2475,786,1938,370,508,124,418,290,612,902,473,648,233,480,85,2066,32,lambmo01w,0,13,2,140,26,5,21,26,3,2,4,23,20,10,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.0,206,1964-10-11,0000-00-00,,chancva99w,0,27,5,6,0,84.375
1,HOU,HOU,WE,2,Y,W,W,W,Houston Comets,891,1894,521,634,172,491,273,724,997,494,554,284,440,104,2475,786,1938,370,508,124,418,290,612,902,473,648,233,480,85,2066,32,rizzoje01w,0,32,2,437,60,6,30,36,44,15,2,38,55,21,9,6,39,12,0,1,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,66.0,146,1974-05-15,0000-00-00,,chancva99w,0,27,5,6,0,84.375
1,HOU,HOU,WE,2,Y,W,W,W,Houston Comets,891,1894,521,634,172,491,273,724,997,494,554,284,440,104,2475,786,1938,370,508,124,418,290,612,902,473,648,233,480,85,2066,32,shakiel01w,0,14,0,150,57,14,17,31,4,5,2,12,30,13,33,29,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.0,190,1970-06-02,0000-00-00,,chancva99w,0,27,5,6,0,84.375
1,HOU,HOU,WE,2,Y,W,W,W,Houston Comets,891,1894,521,634,172,491,273,724,997,494,554,284,440,104,2475,786,1938,370,508,124,418,290,612,902,473,648,233,480,85,2066,32,swoopsh01w,0,31,31,1090,643,40,155,195,119,87,33,67,484,245,145,119,91,34,0,6,6,220,113,9,25,34,19,17,0,12,11,87,41,29,23,17,8,0,72.0,145,1971-03-25,0000-00-00,Defensive Player of the Year,chancva99w,0,27,5,6,0,84.375
1,HOU,HOU,WE,2,Y,W,W,W,Houston Comets,891,1894,521,634,172,491,273,724,997,494,554,284,440,104,2475,786,1938,370,508,124,418,290,612,902,473,648,233,480,85,2066,32,swoopsh01w,0,31,31,1090,643,40,155,195,119,87,33,67,484,245,145,119,91,34,0,6,6,220,113,9,25,34,19,17,0,12,11,87,41,29,23,17,8,0,72.0,145,1971-03-25,0000-00-00,Most Valuable Player,chancva99w,0,27,5,6,0,84.375
